id    title                            source_ai       status  project_decision  dev_stage  spec_stage  pr_status
----  -------------------------------  --------------  ------  ----------------  ---------  ----------  ---------
2560  Executor stability sweep 070327  executor_sweep  merged  execute_now       merged     refined     merged   
2559  Executor stability sweep 065905  executor_sweep  merged  execute_now       merged     refined     merged   
2558  Executor stability sweep 065456  executor_sweep  merged  execute_now       merged     refined     merged   
2557  Executor stability sweep 065420  executor_sweep  merged  execute_now       merged     refined     merged   
2556  Executor stability sweep 065412  executor_sweep  merged  execute_now       merged     refined     merged   
2554  Executor stability sweep 065104  executor_sweep  merged  execute_now       merged     refined     merged   
2553  Executor stability sweep 065033  executor_sweep  merged  execute_now       merged     refined     merged   
2552  Executor stability sweep 065056  executor_sweep  merged  execute_now       merged     refined     merged   
2550  Executor stability sweep 064633  executor_sweep  merged  execute_now       merged     refined     merged   
2549  Executor stability sweep 064232  executor_sweep  merged  execute_now       merged     refined     merged   
2548  Executor stability sweep 064141  executor_sweep  merged  execute_now       merged     refined     merged   
2547  Executor stability sweep 064133  executor_sweep  merged  execute_now       merged     refined     merged   
2546  Executor stability sweep 063816  executor_sweep  merged  execute_now       merged     refined     merged   
2545  Executor stability sweep 063416  executor_sweep  merged  execute_now       merged     refined     merged   
2544  Executor stability sweep 063015  executor_sweep  merged  execute_now       merged     refined     merged   
2543  Executor stability sweep 062924  executor_sweep  merged  execute_now       merged     refined     merged   
2542  Executor stability sweep 062916  executor_sweep  merged  execute_now       merged     refined     merged   
2540  Executor stability sweep 062556  executor_sweep  merged  execute_now       merged     refined     merged   
2539  Executor stability sweep 062155  executor_sweep  merged  execute_now       merged     refined     merged   
2538  Executor stability sweep 061727  executor_sweep  merged  execute_now       merged     refined     merged   
2537  Executor stability sweep 061707  executor_sweep  merged  execute_now       merged     refined     merged   
2536  Executor stability sweep 061659  executor_sweep  merged  execute_now       merged     refined     merged   
2535  Executor stability sweep 061326  executor_sweep  merged  execute_now       merged     refined     merged   
2533  Executor stability sweep 060906  executor_sweep  merged  execute_now       merged     refined     merged   
2531  Executor stability sweep 060506  executor_sweep  merged  execute_now       merged     refined     merged   
2530  Executor stability sweep 060419  executor_sweep  merged  execute_now       merged     refined     merged   
2529  Executor stability sweep 060411  executor_sweep  merged  execute_now       merged     refined     merged   
2528  Executor stability sweep 060053  executor_sweep  merged  execute_now       merged     refined     merged   
2527  Executor stability sweep 055653  executor_sweep  merged  execute_now       merged     refined     merged   
2526  Executor stability sweep 055252  executor_sweep  merged  execute_now       merged     refined     merged   
2525  Executor stability sweep 055202  executor_sweep  merged  execute_now       merged     refined     merged   
2524  Executor stability sweep 055154  executor_sweep  merged  execute_now       merged     refined     merged   
2523  Executor stability sweep 054832  executor_sweep  merged  execute_now       merged     refined     merged   
2521  Executor stability sweep 054431  executor_sweep  merged  execute_now       merged     refined     merged   
2520  Executor stability sweep 054004  executor_sweep  merged  execute_now       merged     refined     merged   
2519  Executor stability sweep 053945  executor_sweep  merged  execute_now       merged     refined     merged   
2518  Executor stability sweep 053937  executor_sweep  merged  execute_now       merged     refined     merged   
2517  Executor stability sweep 053603  executor_sweep  merged  execute_now       merged     refined     merged   
2516  Executor stability sweep 053142  executor_sweep  merged  execute_now       merged     refined     merged   
2515  Executor stability sweep 052742  executor_sweep  merged  execute_now       merged     refined     merged   
2513  Executor stability sweep 052655  executor_sweep  merged  execute_now       merged     refined     merged   
2512  Executor stability sweep 052647  executor_sweep  merged  execute_now       merged     refined     merged   
2511  Executor stability sweep 052341  executor_sweep  merged  execute_now       merged     refined     merged   
2510  Executor stability sweep 052339  executor_sweep  merged  execute_now       merged     refined     merged   
2509  Executor stability sweep 052330  executor_sweep  merged  execute_now       merged     refined     merged   
2508  Executor stability sweep 051925  executor_sweep  merged  execute_now       merged     refined     merged   
2507  Executor stability sweep 051524  executor_sweep  merged  execute_now       merged     refined     merged   
2506  Executor stability sweep 051108  executor_sweep  merged  execute_now       merged     refined     merged   
2505  Executor stability sweep 051057  executor_sweep  merged  execute_now       merged     refined     merged   
2504  Executor stability sweep 051049  executor_sweep  merged  execute_now       merged     refined     merged   
2502  Executor stability sweep 050707  executor_sweep  merged  execute_now       merged     refined     merged   
2501  Executor stability sweep 050246  executor_sweep  merged  execute_now       merged     refined     merged   
2500  Executor stability sweep 045839  executor_sweep  merged  execute_now       merged     refined     merged   
2499  Executor stability sweep 045803  executor_sweep  merged  execute_now       merged     refined     merged   
2498  Executor stability sweep 045755  executor_sweep  merged  execute_now       merged     refined     merged   
2497  Executor stability sweep 045447  executor_sweep  merged  execute_now       merged     refined     merged   
2496  Executor stability sweep 045414  executor_sweep  merged  execute_now       merged     refined     merged   
2495  Executor stability sweep 045439  executor_sweep  merged  execute_now       merged     refined     merged   
2493  Executor stability sweep 045014  executor_sweep  merged  execute_now       merged     refined     merged   
2491  Executor stability sweep 044613  executor_sweep  merged  execute_now       merged     refined     merged   
2490  Executor stability sweep 044523  executor_sweep  merged  execute_now       merged     refined     merged   
2489  Executor stability sweep 044515  executor_sweep  merged  execute_now       merged     refined     merged   
2488  Executor stability sweep 044153  executor_sweep  merged  execute_now       merged     refined     merged   
2487  Executor stability sweep 043753  executor_sweep  merged  execute_now       merged     refined     merged   
2486  Executor stability sweep 043325  executor_sweep  merged  execute_now       merged     refined     merged   
2485  Executor stability sweep 043305  executor_sweep  merged  execute_now       merged     refined     merged   
2484  Executor stability sweep 043257  executor_sweep  merged  execute_now       merged     refined     merged   
2483  Executor stability sweep 042925  executor_sweep  merged  execute_now       merged     refined     merged   
2481  Executor stability sweep 042505  executor_sweep  merged  execute_now       merged     refined     merged   
2480  Executor stability sweep 042104  executor_sweep  merged  execute_now       merged     refined     merged   
2479  Executor stability sweep 042019  executor_sweep  merged  execute_now       merged     refined     merged   
2478  Executor stability sweep 042011  executor_sweep  merged  execute_now       merged     refined     merged   
2477  Executor stability sweep 041644  executor_sweep  merged  execute_now       merged     refined     merged   
2475  Executor stability sweep 041243  executor_sweep  merged  execute_now       merged     refined     merged   
2474  Executor stability sweep 040843  executor_sweep  merged  execute_now       merged     refined     merged   
2473  Executor stability sweep 040753  executor_sweep  merged  execute_now       merged     refined     merged   
2472  Executor stability sweep 040745  executor_sweep  merged  execute_now       merged     refined     merged   
2470  Executor stability sweep 040420  executor_sweep  merged  execute_now       merged     refined     merged   
2469  Executor stability sweep 040019  executor_sweep  merged  execute_now       merged     refined     merged   
2467  Executor stability sweep 035553  executor_sweep  merged  execute_now       merged     refined     merged   
