label	plist	programs	exists
jp.openclaw.agent_map_server	/Users/doyopc/Library/LaunchAgents/jp.openclaw.agent_map_server.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/generated/run_agent_map_server.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/agent_map_server.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/agent_map_server.err	1|1|1
jp.openclaw.ai_ceo_engine	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ai_ceo_engine.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_ai_ceo_engine.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_ceo_engine.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_ceo_engine.launchd.err	0|0|1
jp.openclaw.ai_employee_factory	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ai_employee_factory.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_ai_employee_factory.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_employee_factory.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_employee_factory.launchd.err	0|0|1
jp.openclaw.ai_employee_loop_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ai_employee_loop_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/ai_employee_loop_v1.py	0
jp.openclaw.ai_meeting_digest_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ai_meeting_digest_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_ai_meeting_digest_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_meeting_digest_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_meeting_digest_v1.launchd.out	0|1|1
jp.openclaw.ai_meeting_engine	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ai_meeting_engine.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_ai_meeting_engine.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_meeting_engine.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/ai_meeting_engine.launchd.err	0|1|1
jp.openclaw.api_server	/Users/doyopc/Library/LaunchAgents/jp.openclaw.api_server.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_api_server.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/api_server.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/api_server.err	1|1|1
jp.openclaw.auto_execute_now_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.auto_execute_now_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_auto_execute_now_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/auto_execute_now_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/auto_execute_now_v1.launchd.err	0|0|0
jp.openclaw.auto_skill_builder_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.auto_skill_builder_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/auto_skill_builder_v1.py	0
jp.openclaw.auto_skill_feedback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.auto_skill_feedback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/auto_skill_feedback_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/auto_skill_feedback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/auto_skill_feedback_v1.err	0|1|1
